Brand,Title,Price,MRP,Discount_Percent,Rating,Review_Count,Size,URL
Safari,"Safari Genius Alley Set of 3 (Cabin + Medium + Large) Trolley Bags Hard Case Polypropylene, 4 Wheels, 360 Degree Wheeling Luggage, Suitcase for Travel, Trolley Bags for Travel, Flintstone",6999.0,,,4.0,6094,Cabin,https://www.amazon.in/Safari-Polypropylene-Wheeling-Suitcase-Flintstone/dp/B0FLYGLKYQ/ref=sr_1_5?sr=8-5
Safari,"Safari Cabin Genius Alley 55cm Trolley Bag Hard Case Polypropylene, 4 Spinner Wheels, 360 Degree Wheeling Carry on Luggage, Travel Bag, Suitcase for Travel, Trolley Bags for Travel, Navy",1499.0,6999.0,79.0,4.0,6094,Cabin,https://www.amazon.in/Safari-Trolley-Polypropylene-Wheeling-Suitcase/dp/B0F67J5S83/ref=sr_1_6?sr=8-6
Safari,"Safari Medium Thorium Neo 8 Wheels 66 Cm Check-in Trolley Bag Hard Case Polycarbonate 360 Degree Wheeling System Luggage, Trolley Bags for Travel, Suitcase for Travel, Graphite Blue",2499.0,9800.0,75.0,4.0,28452,Medium,https://www.amazon.in/Safari-Polycarbonate-Wheeling-Speed_Wheel-Suitcase/dp/B097JMXLT9/ref=sr_1_7?sr=8-7
Safari,"Safari Genius Alley Set of 3 (Cabin + Medium + Large) Trolley Bags Hard Case Polypropylene, 4 Wheels, 360 Degree Wheeling Luggage, Suitcase for Travel, Trolley Bags for Travel, Deep Forrest",4399.0,27997.0,84.0,4.0,6094,Cabin,https://www.amazon.in/Safari-Trolley-Polypropylene-Wheeling-Suitcase/dp/B0FLYFYT23/ref=sr_1_8?sr=8-8
Safari,"Safari Cabin Polycarbonate Spinner Thorium Neo 8 Wheels 55Cm Size Trolley Bag, Hard Case, 360º Wheeling Carry-On Luggage for Men &amp; Women, Travel Bag, Suitcase for Travel, Dusk Green",2099.0,7800.0,73.0,4.0,28452,Cabin,https://www.amazon.in/Safari-Polycarbonate-Spinner-Wheeling-Suitcase/dp/B097BH9MD5/ref=sxin_14_pa_sp_search_thematic_sspa
Safari,"Safari Pentagon Pro 8 Wheels Spinner Cabin Trolley Bag Polypropylene Hard Case, 360° Wheeling Carry on Luggage for Men &amp; Women, Suitcase for Travel, Black, 55 cm",1899.0,8999.0,79.0,4.2,34615,Cabin,https://www.amazon.in/Safari-Pentagon-Polypropylene-Wheeling-Suitcase/dp/B097BH338H/ref=sxin_14_pa_sp_search_thematic_sspa
Safari,"Safari Pentagon Pro 8 Wheels 55cm Cabin Size Trolley Bag, Hard Case Polypropylene, 360º Wheeling Small Carry-on Luggage, Suitcase for Travel, Trolley Bags for Travel, Luxury Beige",1899.0,8999.0,79.0,4.2,34615,Cabin,https://www.amazon.in/Safari-Pentagon-Polypropylene-Wheeling-Suitcase/dp/B097GSSCLC/ref=sr_1_11?sr=8-11
Safari,"Safari Polypropylene Spinner Pentagon Pro 8 Wheels Set Of 3 (Cabin + Medium + Large) Trolley Bags, Hard Case, 360º Wheeling Luggage, Suitcase For Travel, Navy, 55, 65, 75 cm",5199.0,33997.0,85.0,4.2,34615,Cabin,https://www.amazon.in/Safari-Pentagon-Polypropylene-Wheeling-Suitcase/dp/B097BFTPVH/ref=sr_1_12?sr=8-12
Safari,"Safari Medium Genius Alley 66cm Size Check-in Trolley Bag Hard Case Polypropylene, 4 Spinner Wheels, 360 Degree Wheeling Luggage, Travel Bag, Suitcase for Travel, Trolley Bags for Travel, Black",1999.0,8999.0,78.0,4.0,6094,Medium,https://www.amazon.in/Safari-Trolley-Polypropylene-Wheeling-Suitcase/dp/B0F67L3Y72/ref=sr_1_13?sr=8-13
Safari,"Safari Pentagon Pro 8 Wheels Set of 3 (Cabin + Medium + Large) Trolley Bags, Hard Case Polypropylene, 360º Wheeling Luggage, Suitcase for Travel, Cyan, Spinner Wheels",5199.0,33997.0,85.0,4.2,34615,Cabin,https://www.amazon.in/Safari-Pentagon-Polypropylene-Wheeling-Suitcase/dp/B097BDYZ26/ref=sr_1_10?sr=8-10
Skybags,"Skybags Cabin Paratrip Hardshell Luggage (55 Cm) | Polypropylene Luggage 4 Wheel Inline Trolley Bag with 8 Wheels | Bumblebee | Unisex, Small, Yellow",1629.0,7060.0,77.0,4.4,831,Cabin,https://www.amazon.in/Skybags-Paratrip-Hardshell-Polypropylene-Bumblebee/dp/B0CPSSB4BN/ref=sr_1_6?sr=8-6
Skybags,"Skybags Splash Trolley Bag 55, 65 &amp; 75cm | Cabin, Check-in | Printed Hard Luggage | Smooth 8-Wheel Suitcase | Combination Lock with Sturdy Zipper | 5 Years International Warranty - Unisex",2209.0,6666.0,67.0,4.3,4720,Cabin,https://www.amazon.in/Skybags-Suitcase-Combination-International-Warranty/dp/B0G6DKGRC7/ref=sr_1_7?sr=8-7&psc=1
Skybags,Skybags Cabin Paratrip Hard Luggage (55 cm) | Polypropylene Luggage Trolley with 8 Spinner Wheels| Purple Oppulence | Unisex,1833.0,7060.0,74.0,4.4,831,Cabin,https://www.amazon.in/Skybags-Paratrip-Luggage-Polypropylene-Oppulence/dp/B0CPSW5WJ5/ref=sr_1_8?sr=8-8
Skybags,"Skybags Cabin Trooper 55 Cms Small Abs Hardshellsided 4 Wheels Spinner Printed Luggage/Inline Suitcase/Trolley Back (Pale Green), Large",2304.0,6825.0,66.0,4.2,21580,Cabin,https://www.amazon.in/Skybags-Trooper-Hardsided-Spinner-Suitcase/dp/B0C8ZFXCB6/ref=sr_1_9?sr=8-9
Skybags,Skybags Lush Medium Size Hard Polycarbonate Polypropylene Spinner Luggage (81cm)|Printed Luggage Trolley with 8 Wheels and TSA Lock|Green-Blue|Unisex,2775.0,6940.0,60.0,4.2,2536,Medium,https://www.amazon.in/Skybags-Luggage-Printed-Trolley-Green-Blue/dp/B0FQ2X816Z/ref=sr_1_17?sr=8-17
